,price,host_is_superhost,host_total_listings_count,host_has_profile_pic,zipcode,property_type,room_type,bathrooms,beds,bed_type,security_deposit,cleaning_fee,minimum_nights,instant_bookable,cancellation_policy,senti_score,walk_score
903,160.0,0,1.0,1,94110,3,1,1.0,2.0,1,750.0,50.0,7,0,2,0.8140499999999998,99
904,179.0,1,68.0,1,94102,3,2,1.0,2.0,1,0.0,0.0,2,0,1,0.7425454545454548,97
905,189.0,1,2.0,1,94103,2,2,1.5,1.0,1,0.0,25.0,2,0,3,0.8356045197740107,97
906,110.0,1,1.0,1,94117,1,2,1.5,1.0,1,250.0,45.0,2,0,2,0.8123958083832337,97
907,180.0,1,68.0,1,94102,3,2,1.0,1.0,1,0.0,0.0,1,0,1,0.7924958333333335,97
908,234.0,0,1.0,1,94110,1,1,1.0,1.0,1,300.0,65.0,30,1,1,0.7241067929593654,99
909,97.0,1,36.0,1,94108,1,1,1.0,1.0,1,1500.0,110.0,30,0,1,0.6314666666666667,100
910,180.0,1,68.0,1,94102,3,2,1.0,2.0,1,0.0,0.0,1,0,1,0.6484055555555556,97
911,375.0,1,3.0,1,94112,2,1,1.0,3.0,1,600.0,175.0,3,0,2,0.7418220000000001,87
912,180.0,1,68.0,1,94102,3,2,1.0,2.0,1,0.0,0.0,1,0,1,0.8110842105263159,97
913,225.0,0,1.0,1,94110,1,1,2.0,2.0,1,250.0,125.0,2,0,2,0.7674222222222222,99
914,90.0,1,1.0,1,94122,2,2,1.0,2.0,1,200.0,40.0,1,1,1,0.7249309368191715,93
915,285.0,1,1.0,1,94131,1,1,2.0,2.0,1,450.0,150.0,3,0,1,0.7513666666666666,71
916,150.0,0,1.0,1,94118,1,1,1.0,3.0,1,500.0,0.0,30,0,1,0.636725,99
917,450.0,1,1.0,1,94131,2,1,2.0,3.0,1,0.0,195.0,4,0,2,0.7551028571428574,71
918,110.0,1,2.0,1,94122,2,2,1.0,1.0,1,0.0,0.0,3,1,2,0.6549752808988759,93
919,180.0,1,68.0,1,94102,4,2,1.0,2.0,1,0.0,0.0,1,0,1,0.68979,97
920,180.0,1,68.0,1,94102,3,2,1.0,2.0,1,0.0,0.0,1,0,1,0.7708125000000002,97
921,293.0,1,1.0,1,94133,1,1,1.5,4.0,1,1000.0,125.0,3,0,2,0.6988054545454548,98
922,599.0,1,2.0,1,94114,1,1,1.0,2.0,1,0.0,100.0,2,0,2,0.6994529411764705,97
923,287.0,0,1.0,1,94107,1,1,2.0,2.0,1,0.0,0.0,14,0,3,0.7241067929593654,85
924,125.0,1,1.0,1,94110,1,1,1.0,1.0,1,500.0,100.0,30,0,3,0.9341799999999999,99
925,250.0,0,1.0,1,94122,1,1,1.0,4.0,1,1000.0,100.0,30,1,1,0.4606,93
926,59.0,1,6.0,1,94112,4,2,2.0,1.0,1,500.0,55.0,30,0,2,0.7241067929593654,87
927,39.0,1,6.0,1,94112,3,2,2.0,1.0,1,500.0,55.0,30,0,3,0.7241067929593654,87
928,165.0,1,1.0,1,94110,2,2,1.0,1.0,1,0.0,0.0,1,0,2,0.7989746031746032,99
929,99.0,0,2.0,1,94110,1,2,1.0,1.0,2,0.0,0.0,1,1,3,0.71334,99
930,200.0,1,4.0,1,94117,1,2,1.0,1.0,1,400.0,50.0,30,0,1,0.7432476923076923,97
931,55.0,0,4.0,1,94118,1,1,1.0,1.0,1,0.0,70.0,30,1,1,0.8358923076923078,99
932,87.0,1,1.0,1,94132,2,2,0.5,1.0,1,400.0,35.0,2,1,1,0.7203548837209306,68
933,109.0,1,5.0,1,94123,1,2,1.0,1.0,1,0.0,35.0,1,0,2,0.7860776649746193,97
934,140.0,1,1.0,1,94103,1,1,1.0,1.0,1,200.0,20.0,2,0,2,0.7888285382830627,97
935,200.0,1,1.0,1,94102,1,1,1.0,2.0,1,250.0,60.0,2,0,2,0.8544533333333335,97
936,130.0,1,1.0,1,94122,2,1,1.0,2.0,1,500.0,200.0,30,0,2,0.6727257142857141,93
937,95.0,1,4.0,1,94117,2,2,1.5,1.0,1,0.0,30.0,1,0,1,0.9618,97
938,134.0,0,35.0,1,94107,1,1,1.0,1.0,1,2500.0,225.0,30,0,1,0.5859,85
939,145.0,1,2.0,1,94114,1,2,1.0,1.0,1,0.0,0.0,3,0,3,0.6745249999999999,97
940,405.0,1,1.0,1,94110,1,1,1.0,3.0,1,950.0,125.0,2,0,2,0.7241067929593654,99
941,145.0,0,7.0,1,94110,1,2,1.0,2.0,1,1000.0,250.0,30,0,2,0.8492333333333333,99
942,375.0,1,4.0,1,94103,2,1,1.0,2.0,1,0.0,125.0,3,0,1,0.7346540540540542,97
943,450.0,1,1.0,1,94112,2,1,2.0,4.0,1,200.0,195.0,3,1,1,0.6992792307692307,87
944,150.0,1,1.0,1,94110,2,2,1.0,1.0,1,200.0,50.0,2,0,1,0.870152542372881,99
945,90.0,1,2.0,1,94122,2,2,1.0,1.0,1,0.0,0.0,3,1,2,0.7444624020887732,93
946,295.0,0,1.0,1,94110,1,1,2.0,3.0,1,1000.0,120.0,3,0,1,0.93985,99
947,299.0,1,6.0,1,94110,2,2,1.0,4.0,1,500.0,120.0,2,1,2,0.7516681818181816,99
948,105.0,1,2.0,1,94118,1,2,1.0,1.0,1,0.0,50.0,7,0,3,0.7357504065040649,99
949,650.0,1,1.0,1,94114,2,1,2.5,3.0,1,750.0,200.0,3,0,1,0.7309083333333333,97
950,275.0,0,1.0,1,94114,1,1,2.0,1.0,1,250.0,100.0,3,0,1,0.753858,97
951,225.0,0,2.0,1,94110,1,1,1.0,1.0,1,500.0,0.0,4,0,1,0.8966782608695653,99
952,125.0,0,1.0,1,94122,1,1,1.0,1.0,3,500.0,100.0,2,1,3,0.7659881656804733,93
953,250.0,0,1.0,1,94102,1,1,1.0,2.0,1,300.0,120.0,3,0,1,0.7241067929593654,97
954,200.0,1,2.0,1,94114,1,1,1.0,2.0,1,300.0,50.0,4,0,2,0.8375863636363636,97
955,185.0,0,1.0,1,94133,1,1,1.0,2.0,1,1000.0,80.0,30,1,1,0.7333315789473683,98
956,140.0,1,1.0,1,94117,1,2,1.0,1.0,1,0.0,50.0,2,0,2,0.8603328767123286,97
957,275.0,1,1.0,1,94110,2,1,1.0,2.0,1,500.0,95.0,2,0,2,0.7464972477064217,99
958,145.0,1,2.0,1,94114,1,2,1.0,1.0,1,400.0,50.0,2,0,3,0.8536453924914678,97
959,290.0,1,2.0,1,94117,1,1,1.5,4.0,1,2000.0,200.0,30,0,1,0.7499933333333334,97
960,375.0,0,1.0,1,94121,2,1,2.0,2.0,1,1000.0,125.0,7,0,1,0.934275,92
961,125.0,1,1.0,1,94114,1,2,1.0,2.0,1,200.0,80.0,2,0,2,0.8205763975155281,97
962,350.0,0,1.0,1,94123,2,1,2.0,3.0,1,3500.0,250.0,30,0,1,0.89144,97
963,208.0,1,3.0,1,94133,2,1,1.5,4.0,1,450.0,75.0,2,0,3,0.7241067929593654,98
964,375.0,0,1.0,1,94107,1,1,2.0,2.0,1,1000.0,125.0,30,0,1,0.6849250000000001,85
965,75.0,1,2.0,1,94110,1,2,1.5,1.0,1,0.0,60.0,30,1,1,0.8413222222222223,99
966,500.0,1,4.0,1,94117,1,2,1.0,1.0,1,900.0,85.0,30,0,1,0.7557785714285714,97
967,600.0,1,3.0,1,94131,2,1,2.0,3.0,1,1000.0,200.0,3,1,1,0.7783687499999999,71
968,145.0,1,6.0,1,94107,1,1,1.0,1.0,1,450.0,150.0,31,0,1,0.7676563106796109,85
969,126.0,1,2.0,1,94114,1,2,1.0,1.0,1,0.0,50.0,2,0,2,0.7554162561576354,97
970,279.0,0,6.0,1,94131,1,1,2.0,4.0,1,0.0,125.0,30,1,1,0.6864287499999998,71
971,97.0,0,4.0,1,94107,1,1,1.0,1.0,1,500.0,200.0,30,0,1,0.7241067929593654,85
972,120.0,1,1.0,1,94114,1,1,1.0,0.0,1,500.0,80.0,30,0,1,0.8583024390243907,97
973,165.0,1,32.0,1,94102,1,1,1.0,1.0,1,500.0,125.0,30,0,1,0.7964,97
974,146.0,1,2.0,1,94110,1,2,2.0,5.0,1,500.0,95.0,5,0,2,0.8483000000000002,99
975,739.0,0,1.0,1,94109,1,1,1.0,2.0,1,0.0,0.0,1,1,1,0.7241067929593654,100
976,160.0,1,2.0,1,94122,1,1,1.0,3.0,1,500.0,75.0,1,1,2,0.7241067929593654,93
977,53.0,1,1.0,1,94116,2,2,1.0,2.0,1,250.0,25.0,2,0,1,0.6961048387096777,84
978,159.0,1,3.0,1,94103,1,2,1.5,1.0,1,0.0,40.0,3,0,2,0.8277444444444444,97
979,360.0,0,1.0,1,94131,2,1,2.0,4.0,1,250.0,130.0,3,0,2,0.8286111111111111,71
